Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 30_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
83,Carlos Benavídez,uy URU,MF,Alavés,27-042,1998,4.4,224,13,59,131,38,1,224,5,3,60.0,1,20.0,120,540,249,4,2,1,3,0,131,5,Matches
84,Iker Benito,es ESP,"FW,MF",Osasuna,22-274,2002,0.4,18,1,4,11,4,0,18,1,0,0.0,1,100.0,8,60,25,2,1,0,1,0,13,4,Matches
85,Yuri Berchiche,es ESP,DF,Athletic Club,35-090,1990,18.7,1343,61,366,721,266,11,1343,14,6,42.9,6,42.9,635,3099,1827,39,25,2,11,2,766,59,Matches
86,Álex Berenguer,es ESP,"FW,MF",Athletic Club,29-311,1995,23.0,1121,14,85,418,639,75,1120,73,29,39.7,36,49.3,570,3896,1895,60,37,24,47,44,725,187,Matches
87,Marc Bernal,es ESP,MF,Barcelona,17-350,2007,2.7,184,4,47,116,21,1,184,3,2,66.7,1,33.3,97,461,150,0,2,0,2,2,137,2,Matches
88,Juan Bernat,es ESP,"DF,MF",Villarreal,32-071,1993,2.4,160,10,42,63,56,13,160,8,3,37.5,5,62.5,83,347,168,4,3,1,3,2,100,23,Matches
89,Juan Bernat,es ESP,"MF,DF",Getafe,32-071,1993,7.7,284,8,55,132,103,15,284,23,12,52.2,11,47.8,148,636,190,2,6,2,17,15,158,36,Matches
90,Juan Berrocal,es ESP,DF,Getafe,26-007,1999,11.0,457,44,218,225,16,8,457,0,0,,0,,179,790,377,1,1,0,3,0,183,1,Matches
91,Antonio Blanco,es ESP,MF,Alavés,24-292,2000,26.6,1366,56,312,870,200,6,1366,19,13,68.4,6,31.6,671,2836,1255,12,17,0,25,25,784,18,Matches
92,Daley Blind,nl NED,DF,Girona,35-063,1990,27.9,2642,161,844,1473,337,19,2642,24,13,54.2,9,37.5,1739,9521,5365,68,63,3,13,10,2007,55,Matches
93,Adama Boiro,es ESP,DF,Athletic Club,22-323,2002,11.2,586,24,154,295,142,9,586,20,8,40.0,10,50.0,263,1565,844,23,17,3,20,14,303,25,Matches
94,Enzo Boyomo,cm CMR,DF,Osasuna,23-216,2001,29.2,1529,167,718,764,61,20,1529,13,7,53.8,5,38.5,855,4146,2402,13,5,1,18,9,948,6,Matches
95,Enzo Boyomo,cm CMR,DF,Valladolid,23-216,2001,3.0,215,23,131,79,6,4,215,1,1,100.0,0,0.0,128,563,282,1,0,0,0,0,159,0,Matches
96,Darko Brašanac,rs SRB,MF,Leganés,33-088,1992,17.3,637,47,162,291,185,28,637,7,2,28.6,5,71.4,245,916,391,6,9,0,15,8,328,53,Matches
97,Tajon Buchanan,ca CAN,MF,Villarreal,26-092,1999,3.3,169,2,35,50,90,20,169,19,10,52.6,6,31.6,105,788,399,16,8,5,13,6,103,32,Matches
98,Ante Budimir,hr CRO,FW,Osasuna,33-293,1991,29.1,714,23,42,310,368,151,706,39,10,25.6,26,66.7,344,1466,500,22,15,8,77,40,486,120,Matches
99,Manu Bueno,es ESP,"MF,FW",Sevilla,20-288,2004,1.3,74,2,12,37,25,2,74,2,1,50.0,1,50.0,42,217,94,2,3,0,2,2,58,4,Matches
100,Endika Buján,es ESP,FW,Athletic Club,22-115,2003,0.1,7,0,0,0,7,2,7,2,1,50.0,1,50.0,5,26,13,1,0,0,0,0,5,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
101,Pau Cabanes,es ESP,"MF,FW",Villarreal,20-083,2005,1.8,122,2,17,35,71,11,122,12,5,41.7,6,50.0,74,467,245,10,9,5,8,3,89,33,Matches
102,Pau Cabanes,es ESP,"MF,FW",Alavés,20-083,2005,2.0,118,1,15,43,63,7,118,12,4,33.3,6,50.0,81,489,309,15,9,3,10,3,80,15,Matches
103,Leandro Cabrera,uy URU,DF,Espanyol,33-328,1991,29.0,1664,311,969,639,64,30,1664,2,1,50.0,1,50.0,777,3409,2087,8,8,0,8,1,935,4,Matches
104,Fernando Calero,es ESP,"DF,MF",Espanyol,29-239,1995,5.3,290,43,176,98,17,2,290,0,0,,0,,120,485,252,0,2,0,4,0,152,1,Matches
