Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
102,Nathaniel Clyne,eng ENG,"DF,MF",Crystal Palace,34-036,1991,5.4,12,8,8,3,1,6,11,54.5,5,4,2,2,3,15,14,1,Matches
103,Conor Coady,eng ENG,DF,Leicester City,32-075,1993,16.0,12,8,6,5,1,3,6,50.0,3,27,20,7,13,25,62,2,Matches
104,Séamus Coleman,ie IRL,DF,Everton,36-212,1988,2.2,3,2,2,1,0,3,4,75.0,1,5,3,2,1,4,8,0,Matches
105,Nathan Collins,ie IRL,DF,Brentford,24-011,2001,36.0,37,22,22,11,4,22,35,62.9,13,72,52,20,33,70,219,2,Matches
106,Toby Collyer,eng ENG,MF,Manchester Utd,21-128,2004,2.0,12,9,6,6,0,5,6,83.3,1,2,1,1,2,14,3,0,Matches
107,Levi Colwill,eng ENG,DF,Chelsea,22-074,2003,32.0,42,30,22,17,3,16,25,64.0,9,35,24,11,32,74,104,4,Matches
108,Lewis Cook,eng ENG,"MF,DF",Bournemouth,28-097,1997,32.3,81,42,41,36,4,37,67,55.2,30,30,11,19,40,121,68,0,Matches
109,Maxwel Cornet,ci CIV,FW,Southampton,28-226,1996,0.8,5,5,1,4,0,0,4,0.0,4,0,0,0,0,5,2,0,Matches
110,Vladimír Coufal,cz CZE,DF,West Ham,32-262,1992,9.7,17,11,10,5,2,7,18,38.9,11,13,11,2,8,25,37,1,Matches
111,Woyo Coulibaly,fr FRA,DF,Leicester City,25-356,1999,1.2,6,4,4,2,0,2,2,100.0,0,3,1,2,5,11,1,0,Matches
112,Aaron Cresswell,eng ENG,DF,West Ham,35-147,1989,7.5,9,5,4,4,1,7,9,77.8,2,9,4,5,8,17,34,0,Matches
