Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 22_level_0,Unnamed: 23_level_0,Expected,Expected,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0,Unnamed: 31_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
82,Fran Beltrán,es ESP,MF,Celta Vigo,26-097,1999,23.9,1190,1341,88.7,21110,5975,492,532,92.5,571,616,92.7,104,137,75.9,1,1.8,1.6,-0.8,15,127,13,1,141,Matches
83,Carlos Benavídez,uy URU,MF,Alavés,27-042,1998,4.4,127,180,70.6,2424,734,54,66,81.8,52,66,78.8,18,38,47.4,1,0.6,0.3,+0.4,3,19,3,0,22,Matches
84,Iker Benito,es ESP,"FW,MF",Osasuna,22-274,2002,0.4,9,13,69.2,128,7,4,6,66.7,3,4,75.0,1,2,50.0,0,0.0,0.0,0.0,1,0,0,0,0,Matches
85,Yuri Berchiche,es ESP,DF,Athletic Club,35-090,1990,18.7,973,1158,84.0,17377,6285,442,491,90.0,438,510,85.9,86,128,67.2,2,2.1,1.9,-0.1,17,109,14,7,130,Matches
86,Álex Berenguer,es ESP,"FW,MF",Athletic Club,29-311,1995,23.0,570,856,66.6,9247,2310,305,356,85.7,196,265,74.0,53,171,31.0,7,4.6,4.1,+2.4,41,46,27,10,73,Matches
87,Marc Bernal,es ESP,MF,Barcelona,17-350,2007,2.7,148,160,92.5,2634,623,66,71,93.0,72,77,93.5,10,11,90.9,0,0.0,0.1,0.0,1,12,0,0,8,Matches
88,Juan Bernat,es ESP,"DF,MF",Villarreal,32-071,1993,2.4,101,130,77.7,1479,244,54,61,88.5,45,53,84.9,1,6,16.7,1,0.4,0.4,+0.6,4,4,1,1,8,Matches
89,Juan Bernat,es ESP,"MF,DF",Getafe,32-071,1993,7.7,142,198,71.7,1831,507,93,111,83.8,35,48,72.9,4,9,44.4,1,0.7,0.4,+0.3,7,10,7,3,14,Matches
90,Juan Berrocal,es ESP,DF,Getafe,26-007,1999,11.0,264,351,75.2,5417,2112,74,82,90.2,157,189,83.1,29,71,40.8,0,0.0,0.1,0.0,1,19,1,0,23,Matches
91,Antonio Blanco,es ESP,MF,Alavés,24-292,2000,26.6,896,1127,79.5,16640,6006,370,440,84.1,407,469,86.8,102,164,62.2,1,1.5,1.8,-0.5,13,127,19,9,130,Matches
92,Daley Blind,nl NED,DF,Girona,35-063,1990,27.9,2154,2427,88.8,39585,13906,927,989,93.7,988,1071,92.3,225,310,72.6,2,1.6,2.3,+0.4,18,287,23,7,252,Matches
93,Adama Boiro,es ESP,DF,Athletic Club,22-323,2002,11.2,382,477,80.1,5980,1907,203,223,91.0,166,212,78.3,11,28,39.3,0,0.3,0.5,-0.3,4,44,8,4,46,Matches
94,Enzo Boyomo,cm CMR,DF,Osasuna,23-216,2001,29.2,1085,1247,87.0,20791,7866,368,400,92.0,605,653,92.6,103,169,60.9,0,0.8,0.6,-0.8,3,77,5,0,97,Matches
95,Enzo Boyomo,cm CMR,DF,Valladolid,23-216,2001,3.0,174,190,91.6,3007,1118,75,77,97.4,87,93,93.5,11,19,57.9,0,0.0,0.0,0.0,0,2,0,0,7,Matches
96,Darko Brašanac,rs SRB,MF,Leganés,33-088,1992,17.3,351,472,74.4,4923,1224,202,234,86.3,116,159,73.0,14,32,43.8,2,0.4,0.5,+1.6,8,24,2,0,42,Matches
97,Tajon Buchanan,ca CAN,MF,Villarreal,26-092,1999,3.3,74,110,67.3,997,271,53,68,77.9,11,19,57.9,6,11,54.5,1,0.5,0.5,+0.5,3,2,4,1,4,Matches
98,Ante Budimir,hr CRO,FW,Osasuna,33-293,1991,29.1,218,392,55.6,2740,440,150,229,65.5,54,108,50.0,3,9,33.3,4,1.7,1.1,+2.3,16,8,7,0,21,Matches
99,Manu Bueno,es ESP,"MF,FW",Sevilla,20-288,2004,1.3,51,57,89.5,846,94,24,26,92.3,20,22,90.9,4,5,80.0,0,0.0,0.0,0.0,0,4,1,0,3,Matches
100,Endika Buján,es ESP,FW,Athletic Club,22-115,2003,0.1,4,5,80.0,41,12,4,4,100.0,0,0,,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
101,Pau Cabanes,es ESP,"MF,FW",Villarreal,20-083,2005,1.8,60,84,71.4,897,192,37,45,82.2,21,29,72.4,1,3,33.3,0,0.4,0.2,-0.4,4,1,3,0,11,Matches
102,Pau Cabanes,es ESP,"MF,FW",Alavés,20-083,2005,2.0,57,81,70.4,705,87,34,41,82.9,19,28,67.9,0,4,0.0,0,0.0,0.1,0.0,1,2,1,0,4,Matches
103,Leandro Cabrera,uy URU,DF,Espanyol,33-328,1991,29.0,1004,1331,75.4,20675,9424,335,386,86.8,521,600,86.8,138,306,45.1,2,0.9,0.7,+1.1,9,82,14,2,64,Matches
104,Fernando Calero,es ESP,"DF,MF",Espanyol,29-239,1995,5.3,177,211,83.9,3605,1370,57,60,95.0,88,99,88.9,29,43,67.4,0,0.0,0.0,0.0,2,8,0,0,8,Matches
105,Eduardo Camavinga,fr FRA,"MF,DF",Real Madrid,22-182,2002,12.2,700,793,88.3,11361,3012,344,367,93.7,296,319,92.8,43,66,65.2,2,0.8,0.7,+1.2,11,61,5,0,61,Matches
106,Sergio Camello,es ESP,FW,Rayo Vallecano,24-090,2001,12.6,207,263,78.7,2869,452,127,151,84.1,61,73,83.6,7,9,77.8,2,2.0,1.1,0.0,19,12,7,0,27,Matches
107,José Campaña,es ESP,MF,Las Palmas,31-345,1993,12.4,660,784,84.2,11600,4051,297,325,91.4,267,305,87.5,74,115,64.3,3,0.9,1.0,+2.1,13,68,12,4,79,Matches
108,Peio Canales,es ESP,"MF,FW",Athletic Club,20-114,2005,2.1,65,80,81.3,1044,131,33,37,89.2,25,29,86.2,4,11,36.4,0,0.1,0.1,-0.1,2,5,2,0,5,Matches
109,Antonio Candela,it ITA,DF,Valladolid,25-014,2000,8.6,304,394,77.2,5179,1695,150,163,92.0,121,159,76.1,25,56,44.6,0,0.5,0.5,-0.5,4,17,5,5,19,Matches
110,Sergi Canós,es ESP,"MF,FW",Valencia,28-098,1997,4.0,89,155,57.4,1455,409,50,62,80.6,31,51,60.8,6,23,26.1,1,0.2,0.2,+0.8,4,9,3,3,9,Matches
111,Cárdenas,es ESP,GK,Rayo Vallecano,28-044,1997,6.0,94,179,52.5,3014,2377,11,11,100.0,51,52,98.1,32,115,27.8,0,0.0,0.0,0.0,0,2,0,0,0,Matches
112,Irvin Cardona,fr FRA,"FW,MF",Espanyol,27-276,1997,6.7,100,161,62.1,1428,432,56,73,76.7,31,49,63.3,6,21,28.6,1,0.6,1.2,+0.4,9,9,11,4,15,Matches
113,Marc Cardona,es ESP,"FW,DF",Las Palmas,29-307,1995,1.2,35,43,81.4,506,79,18,21,85.7,12,14,85.7,2,3,66.7,0,0.0,0.1,0.0,0,4,0,0,3,Matches
114,Sergi Cardona,es ESP,DF,Villarreal,25-307,1999,31.5,1092,1415,77.2,18141,6385,531,612,86.8,476,581,81.9,70,152,46.1,7,5.8,4.3,+1.2,45,60,45,25,75,Matches
