Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
95,Lamine Camara,sn SEN,MF,Monaco,21-130,2004,21.8,63,38,21,32,10,26,48,54.2,22,27,4,23,30,93,32,1,Matches
96,Mahdi Camara,fr FRA,"MF,FW",Brest,26-315,1998,28.5,69,38,14,38,17,23,45,51.1,22,40,5,35,32,101,29,0,Matches
97,Ousmane Camara,fr FRA,DF,Angers,22-066,2003,2.0,2,1,1,1,0,1,1,100.0,0,0,0,0,0,2,14,0,Matches
98,Axel Camblan,fr FRA,"MF,FW",Brest,21-254,2003,0.3,1,1,0,0,1,1,2,50.0,1,1,0,1,0,1,0,0,Matches
99,Jaydee Canvot,fr FRA,"DF,MF",Toulouse,18-286,2006,11.3,20,9,13,5,2,11,17,64.7,6,9,2,7,11,31,50,1,Matches
100,Pierrick Capelle,fr FRA,MF,Angers,38-026,1987,5.4,24,17,10,9,5,9,18,50.0,9,4,1,3,11,35,5,1,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
101,Gabin Capuano,fr FRA,FW,Lens,19-015,2006,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
102,Maxence Caqueret,fr FRA,MF,Lyon,25-085,2000,6.4,21,11,5,11,5,4,22,18.2,18,12,2,10,7,28,2,0,Matches
103,Simon Cara,fr FRA,"MF,FW",Montpellier,19-345,2005,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
104,Valentin Carboni,ar ARG,"MF,FW",Marseille,20-067,2005,1.1,2,2,0,1,1,0,1,0.0,1,1,0,1,1,3,1,0,Matches
105,Irvin Cardona,fr FRA,FW,Saint-Étienne,27-276,1997,9.9,5,4,3,2,0,2,12,16.7,10,16,3,13,3,8,6,2,Matches
106,Patrik Carlgren,se SWE,GK,Nantes,33-123,1992,4.6,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
107,Josué Casimir,fr FRA,"FW,MF",Le Havre,23-229,2001,21.2,37,26,15,15,7,9,17,52.9,8,19,0,19,7,44,35,1,Matches
108,Cristian Cásseres Jr.,ve VEN,MF,Toulouse,25-111,2000,29.0,95,61,41,42,12,45,85,52.9,40,34,8,26,39,134,36,1,Matches
109,Jean-Charles Castelletto,cm CMR,"DF,MF",Nantes,30-105,1995,28.1,31,14,15,14,2,16,25,64.0,9,27,18,9,25,56,146,0,Matches
110,Enzo Caumont,fr FRA,MF,Angers,21-059,2004,0.1,1,1,0,1,0,1,1,100.0,0,1,1,0,1,2,1,0,Matches
111,Fabien Centonze,fr FRA,DF,Nantes,29-115,1996,2.7,8,4,5,2,1,4,6,66.7,2,4,1,3,2,10,17,0,Matches
112,Brendan Chardonnet,fr FRA,DF,Brest,30-140,1994,26.8,45,33,28,14,3,25,40,62.5,15,45,28,17,29,74,169,2,Matches
113,Jhoanner Chávez,ec ECU,"DF,MF",Lens,23-016,2002,6.6,9,5,4,4,1,2,7,28.6,5,10,1,9,6,15,13,0,Matches
114,Théo Chennahi,fr FRA,DF,Montpellier,20-094,2005,1.0,4,3,1,3,0,3,6,50.0,3,2,0,2,1,5,1,0,Matches
