Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 36_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
84,Diego Carlos,br BRA,DF,Aston Villa,32-057,1993,10,8,830,9.2,0,0,0,0,0,0,1,0,0.6,0.6,0.0,0.6,3,34,0,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07,Matches
85,Fabio Carvalho,pt POR,"FW,MF",Brentford,22-254,2002,19,3,455,5.1,2,1,3,2,0,0,1,0,2.5,2.5,0.7,3.2,9,17,23,0.40,0.20,0.59,0.40,0.59,0.49,0.13,0.62,0.49,0.62,Matches
86,Casemiro,br BRA,MF,Manchester Utd,33-077,1992,22,16,1335,14.8,1,0,1,1,0,0,3,0,1.7,1.7,2.3,3.9,4,70,26,0.07,0.00,0.07,0.07,0.07,0.11,0.15,0.27,0.11,0.27,Matches
87,Kaelan Casey,eng ENG,DF,West Ham,20-195,2004,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
88,Matty Cash,pl POL,DF,Aston Villa,27-277,1997,25,22,1890,21.0,1,1,2,1,0,0,6,0,0.4,0.4,1.1,1.4,46,39,76,0.05,0.05,0.10,0.05,0.10,0.02,0.05,0.07,0.02,0.07,Matches
89,Eiran Cashin,ie IRL,DF,Brighton,23-183,2001,2,0,20,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,6,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
90,Timothy Castagne,be BEL,DF,Fulham,29-157,1995,24,17,1649,18.3,0,1,1,0,0,0,1,0,0.4,0.4,1.2,1.6,17,62,67,0.00,0.05,0.05,0.00,0.05,0.02,0.07,0.09,0.02,0.09,Matches
91,Trevoh Chalobah,eng ENG,DF,Crystal Palace,25-310,1999,12,12,1060,11.8,3,0,3,3,0,0,1,0,1.2,1.2,0.4,1.6,11,34,6,0.25,0.00,0.25,0.25,0.25,0.10,0.03,0.14,0.10,0.14,Matches
92,Trevoh Chalobah,eng ENG,DF,Chelsea,25-310,1999,12,10,836,9.3,0,1,1,0,0,0,2,0,0.7,0.7,1.2,1.9,4,37,2,0.00,0.11,0.11,0.00,0.11,0.08,0.13,0.21,0.08,0.21,Matches
93,Conor Chaplin,eng ENG,"MF,FW",Ipswich Town,28-084,1997,20,9,768,8.5,1,1,2,1,0,0,2,0,1.2,1.2,0.7,1.9,11,27,20,0.12,0.12,0.23,0.12,0.23,0.14,0.08,0.22,0.14,0.22,Matches
94,Youssef Chermiti,pt POR,"FW,MF",Everton,20-352,2004,4,0,45,0.5,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0,1,6,0.00,0.00,0.00,0.00,0.00,0.22,0.00,0.22,0.22,0.22,Matches
95,Federico Chiesa,it ITA,FW,Liverpool,27-198,1997,5,0,46,0.5,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,3,2,7,0.00,0.00,0.00,0.00,0.00,0.49,0.00,0.49,0.49,0.49,Matches
