Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 22_level_0,Unnamed: 23_level_0,Expected,Expected,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0,Unnamed: 31_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
262,Giorgos Masouras,gr GRE,"FW,MF",Bochum,31-130,1994,10.9,189,265,71.3,2570,609,128,156,82.1,48,66,72.7,9,19,47.4,1,1.1,1.0,-0.1,9,11,6,4,17,Matches
263,Erhan Mašović,rs SRB,DF,Bochum,26-170,1998,10.1,349,422,82.7,7445,2958,87,98,88.8,213,240,88.8,49,76,64.5,1,0.9,0.5,+0.1,3,28,0,0,35,Matches
264,Igor Matanovic,hr CRO,FW,Eint Frankfurt,22-041,2003,3.5,57,75,76.0,837,209,33,40,82.5,19,24,79.2,3,4,75.0,0,0.0,0.1,0.0,1,8,1,0,6,Matches
265,Chrislain Matsima,fr FRA,DF,Augsburg,22-361,2002,26.3,1040,1215,85.6,18307,5967,415,468,88.7,544,591,92.0,66,115,57.4,0,0.1,0.5,-0.1,3,87,6,0,79,Matches
266,Jean Mattéo Bahoya,fr FRA,"MF,FW",Eint Frankfurt,20-004,2005,9.7,246,330,74.5,3486,1119,130,156,83.3,81,105,77.1,15,28,53.6,3,1.7,2.3,+1.3,18,15,10,4,27,Matches
267,Maurides,br BRA,FW,St. Pauli,31-062,1994,0.0,1,2,50.0,12,0,1,2,50.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
268,Keke Maximilian Topp,de GER,"FW,MF",Werder Bremen,21-047,2004,2.7,45,85,52.9,594,193,29,45,64.4,14,24,58.3,0,2,0.0,2,2.0,0.8,0.0,10,4,5,2,9,Matches
269,Jakov Medić,hr CRO,DF,Bochum,26-246,1998,16.9,609,703,86.6,12756,4185,156,174,89.7,363,404,89.9,88,116,75.9,0,0.2,0.5,-0.2,3,30,4,1,27,Matches
270,Connor Metcalfe,au AUS,"MF,FW",St. Pauli,25-187,1999,3.9,75,117,64.1,1171,426,42,54,77.8,27,34,79.4,6,20,30.0,0,0.2,0.2,-0.2,3,6,2,1,8,Matches
271,Karol Mets,ee EST,DF,St. Pauli,31-360,1993,10.0,526,631,83.4,10181,3728,165,186,88.7,302,330,91.5,53,101,52.5,0,0.2,0.4,-0.2,3,49,3,1,54,Matches
