Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 30_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
86,Gianluca Busio,us USA,MF,Venezia,22-348,2002,26.0,1163,56,206,588,387,49,1163,46,14,30.4,27,58.7,707,4130,2151,57,51,5,48,30,788,126,Matches
87,Jean Butez,fr FRA,GK,Como,29-337,1995,17.0,733,590,726,8,0,0,733,0,0,,0,,496,2541,1415,0,0,0,1,0,413,0,Matches
88,Liberato Cacace,nz NZL,"DF,MF",Empoli,24-226,2000,23.1,1121,80,339,464,338,51,1121,48,13,27.1,32,66.7,514,3433,1840,51,32,7,36,18,596,89,Matches
89,Davide Calabria,it ITA,DF,Bologna,28-156,1996,6.0,432,9,123,216,98,3,432,3,0,0.0,3,100.0,248,1108,544,5,6,0,9,3,251,18,Matches
90,Davide Calabria,it ITA,DF,Milan,28-156,1996,3.5,258,9,56,137,69,4,258,5,3,60.0,1,20.0,159,727,358,8,5,0,1,1,174,31,Matches
91,Luca Caldirola,it ITA,DF,Monza,34-099,1991,8.5,590,71,305,265,21,4,590,1,1,100.0,0,0.0,377,1720,877,4,4,0,2,1,413,4,Matches
92,Hakan Çalhanoğlu,tr TUR,MF,Inter,31-092,1994,19.7,1738,42,344,939,462,22,1734,6,3,50.0,3,50.0,1067,5630,2937,49,50,6,19,8,1249,47,Matches
93,Drissa Camara,ci CIV,"MF,FW",Parma,23-082,2002,5.0,251,1,30,120,113,24,251,27,17,63.0,10,37.0,174,1222,648,18,10,10,14,3,173,35,Matches
94,Francesco Camarda,it ITA,"FW,MF",Milan,17-062,2008,1.8,61,5,10,26,26,11,61,7,2,28.6,4,57.1,24,143,55,2,1,0,6,3,34,9,Matches
95,Nicolò Cambiaghi,it ITA,FW,Bologna,24-134,2000,5.9,287,1,31,95,166,31,287,20,9,45.0,6,30.0,207,1493,767,38,7,14,11,10,221,53,Matches
96,Andrea Cambiaso,it ITA,"DF,FW",Juventus,25-080,2000,23.1,1782,48,432,894,474,37,1782,46,25,54.3,17,37.0,1127,6970,3671,74,61,11,43,19,1282,114,Matches
97,Thomas Campaniello,it ITA,FW,Empoli,17-071,2008,0.3,17,0,1,6,10,1,17,0,0,,0,,5,20,2,0,0,0,1,0,13,6,Matches
98,Matteo Cancellieri,it ITA,"FW,MF",Parma,23-088,2002,15.8,530,20,103,210,229,39,530,70,28,40.0,33,47.1,314,2108,1025,40,20,16,34,24,348,79,Matches
99,Fali Candé,gw GNB,DF,Venezia,27-107,1998,14.0,940,144,507,405,37,7,940,8,7,87.5,0,0.0,460,2136,921,4,7,0,6,7,469,1,Matches
100,Antonio Candela,it ITA,DF,Venezia,25-014,2000,11.2,505,38,198,201,112,13,505,12,6,50.0,5,41.7,250,1430,700,12,5,2,17,10,285,25,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
101,Gianluca Caprari,it ITA,"MF,FW",Monza,31-285,1993,15.9,807,3,65,386,362,32,805,36,8,22.2,21,58.3,552,2968,1388,38,33,12,37,27,600,94,Matches
102,Elia Caprile,it ITA,GK,Cagliari,23-259,2001,17.0,713,583,711,2,0,0,713,0,0,,0,,386,1832,1026,0,0,0,0,0,317,0,Matches
103,Elia Caprile,it ITA,GK,Napoli,23-259,2001,3.6,105,79,105,0,0,0,105,0,0,,0,,44,234,161,0,0,0,0,0,62,0,Matches
104,Francesco Caputo,it ITA,FW,Empoli,37-278,1987,0.1,2,0,0,1,1,0,2,0,0,,0,,1,1,0,0,0,0,0,0,1,1,Matches
105,Maxence Caqueret,fr FRA,MF,Como,25-085,2000,10.9,642,7,125,344,182,21,642,30,13,43.3,13,43.3,416,1892,837,14,15,1,25,13,467,40,Matches
