Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 30_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
58,Melvin Bard,fr FRA,"DF,MF",Nice,24-186,2000,20.5,1382,87,453,661,288,35,1382,48,22,45.8,25,52.1,738,4259,2444,50,34,9,28,12,822,93,Matches
59,Gabriel Bares,ch SUI,"MF,DF",Montpellier,24-255,2000,0.6,49,3,10,32,8,2,49,2,1,50.0,1,50.0,27,136,31,1,0,0,0,1,33,0,Matches
60,Dylan Batubinsika,cd COD,DF,Saint-Étienne,29-085,1996,21.9,1427,192,754,655,22,7,1427,8,5,62.5,2,25.0,761,4069,2273,11,2,0,6,2,938,1,Matches
61,Haris Belkebla,dz ALG,MF,Angers,31-103,1994,19.9,1064,67,332,630,115,6,1064,22,9,40.9,10,45.5,558,2613,1056,8,15,1,27,10,686,15,Matches
62,Yassin Belkhdim,fr FRA,MF,Angers,23-086,2002,16.9,702,46,236,347,130,18,702,15,2,13.3,12,80.0,343,1717,728,17,7,2,31,14,403,31,Matches
63,Eliesse Ben Seghir,ma MAR,"MF,FW",Monaco,20-084,2005,18.5,1185,2,87,504,611,61,1183,93,34,36.6,53,57.0,810,5357,2923,83,83,24,57,34,946,166,Matches
64,Ismaël Bennacer,dz ALG,MF,Marseille,27-161,1997,6.5,812,5,96,536,188,1,812,11,7,63.6,4,36.4,509,2318,1115,14,24,1,7,14,672,7,Matches
65,Saïd Benrahma,dz ALG,"FW,MF",Lyon,29-274,1995,8.2,447,2,44,169,240,34,447,29,8,27.6,20,69.0,286,1930,956,41,20,15,15,11,346,109,Matches
66,Nabil Bentaleb,dz ALG,MF,Lille,30-168,1994,3.7,277,15,83,149,46,2,277,0,0,,0,,130,520,252,2,3,1,2,4,203,5,Matches
67,Lucas Beraldo,br BRA,DF,Paris S-G,21-168,2003,22.2,2302,220,865,1365,78,15,2302,1,1,100.0,0,0.0,1388,5482,3287,9,15,0,10,2,1837,0,Matches
68,Maxime Bernauer,fr FRA,DF,Saint-Étienne,26-314,1998,7.5,494,66,245,231,20,3,494,2,1,50.0,1,50.0,294,1471,972,5,4,0,2,2,341,0,Matches
69,Dimitry Bertaud,cd COD,GK,Montpellier,26-339,1998,3.0,99,83,99,0,0,0,99,0,0,,0,,47,265,138,0,0,0,0,0,38,0,Matches
70,Mika Biereth,dk DEN,FW,Monaco,22-092,2003,13.6,382,4,15,125,243,98,380,11,1,9.1,9,81.8,212,817,354,14,8,5,39,16,286,110,Matches
71,Emmanuel Biumla,fr FRA,DF,Angers,20-003,2005,14.6,651,117,401,238,16,8,651,12,7,58.3,4,33.3,379,2259,1288,3,2,0,10,4,419,0,Matches
72,Marco Bizot,nl NED,GK,Brest,34-062,1991,31.0,1157,992,1150,7,0,0,1157,0,0,,0,,624,3127,1489,0,0,0,2,0,559,0,Matches
73,Ludovic Blas,fr FRA,"MF,FW",Rennes,27-131,1997,24.7,1235,11,128,523,603,105,1235,115,43,37.4,67,58.3,762,4864,2330,83,46,31,70,45,898,184,Matches
74,Augustine Boakye,gh GHA,"FW,MF",Saint-Étienne,24-189,2000,8.1,349,6,32,130,191,29,349,24,13,54.2,10,41.7,194,1180,579,25,20,9,18,25,251,60,Matches
75,Mathéo Bodmer,fr FRA,MF,Le Havre,21-005,2004,0.1,3,1,1,2,0,0,3,0,0,,0,,0,0,0,0,0,0,0,0,1,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
76,Jeremie Boga,ci CIV,"MF,FW",Nice,28-128,1997,11.7,529,5,65,204,268,57,529,64,25,39.1,32,50.0,338,3010,1837,64,37,24,18,17,408,75,Matches
77,Moïse Bombito,ca CAN,DF,Nice,25-042,2000,23.4,1618,207,738,831,61,9,1618,16,12,75.0,3,18.8,866,4477,2517,26,10,1,14,3,1067,9,Matches
78,Saïmon Bouabré,fr FRA,"MF,FW",Monaco,18-344,2006,0.8,26,2,4,15,7,1,26,2,0,0.0,1,50.0,22,136,62,3,2,1,2,1,23,3,Matches
79,Ayyoub Bouaddi,fr FRA,MF,Lille,17-221,2007,11.9,653,27,144,360,154,10,653,28,14,50.0,13,46.4,348,1660,637,11,7,3,30,15,437,20,Matches
80,Badredine Bouanani,dz ALG,"MF,FW",Nice,20-154,2004,11.5,545,4,50,220,284,38,545,33,13,39.4,17,51.5,341,2299,1295,43,33,12,23,17,405,86,Matches
81,Benjamin Bouchouari,ma MAR,MF,Saint-Étienne,23-179,2001,18.4,1161,24,215,599,362,14,1161,50,25,50.0,23,46.0,688,3312,1819,44,22,6,31,26,889,50,Matches
82,Hicham Boudaoui,dz ALG,MF,Nice,25-230,1999,26.1,1418,71,298,780,368,45,1418,63,23,36.5,34,54.0,738,4405,2249,54,44,7,36,25,913,75,Matches
83,Justin Bourgault,fr FRA,DF,Brest,19-239,2005,1.4,83,5,25,38,20,1,83,0,0,,0,,45,175,84,2,3,0,1,1,49,12,Matches
84,Benjamin Bourigeaud,fr FRA,MF,Rennes,31-117,1994,0.9,57,3,9,24,25,2,57,1,1,100.0,0,0.0,20,79,44,0,2,0,1,1,35,4,Matches
85,Bilal Brahimi,dz ALG,MF,Nice,25-058,2000,0.8,49,2,7,23,19,0,49,2,0,0.0,2,100.0,29,202,112,3,3,0,0,3,35,10,Matches
86,Lilian Brassier,fr FRA,DF,Marseille,25-190,1999,8.7,732,59,303,382,48,11,732,9,1,11.1,6,66.7,447,2283,1109,11,8,0,9,4,532,8,Matches
87,Lilian Brassier,fr FRA,DF,Rennes,25-190,1999,12.7,1002,87,401,513,97,15,1002,4,2,50.0,0,0.0,595,3230,1732,21,17,1,6,1,735,11,Matches
