Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
77,Matthias Braunöder,at AUT,MF,Como,23-046,2002,3.0,10,4,6,3,1,7,11,63.6,4,3,0,3,2,12,4,1,Matches
78,Iker Bravo,es ESP,"FW,MF",Udinese,20-119,2005,7.2,9,5,2,5,2,4,8,50.0,4,3,0,3,1,10,4,0,Matches
79,Gleison Bremer,br BRA,DF,Juventus,28-055,1997,6.0,15,7,9,5,1,4,5,80.0,1,15,11,4,6,21,16,0,Matches
80,Brenner,br BRA,"MF,FW",Udinese,25-116,2000,4.3,6,4,2,3,1,3,8,37.5,5,4,0,4,1,7,6,0,Matches
81,Marco Brescianini,it ITA,MF,Atalanta,25-112,2000,9.6,16,10,4,8,4,7,9,77.8,2,14,1,13,2,18,5,0,Matches
82,Arvid Brorsson,se SWE,DF,Monza,26-004,1999,2.0,4,3,2,2,0,2,2,100.0,0,6,5,1,1,5,18,1,Matches
83,Tajon Buchanan,ca CAN,"DF,FW",Inter,26-093,1999,1.1,3,0,2,0,1,1,2,50.0,1,0,0,0,0,3,3,0,Matches
84,Alessandro Buongiorno,it ITA,DF,Napoli,25-340,1999,21.4,39,23,26,12,1,24,32,75.0,8,30,18,12,35,74,73,2,Matches
85,Rareș-Cătălin Burnete,ro ROU,FW,Lecce,21-101,2004,0.3,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches
86,Gianluca Busio,us USA,MF,Venezia,22-349,2002,26.0,45,31,24,12,9,20,47,42.6,27,32,8,24,18,63,49,0,Matches
87,Jean Butez,fr FRA,GK,Como,29-338,1995,17.0,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,16,1,Matches
88,Liberato Cacace,nz NZL,"DF,MF",Empoli,24-227,2000,23.1,36,24,20,12,4,22,31,71.0,9,25,8,17,22,58,57,0,Matches
89,Davide Calabria,it ITA,DF,Bologna,28-157,1996,6.0,12,8,5,5,2,5,11,45.5,6,3,0,3,1,13,19,1,Matches
90,Davide Calabria,it ITA,DF,Milan,28-157,1996,3.5,10,7,10,0,0,4,7,57.1,3,1,0,1,8,18,8,0,Matches
91,Luca Caldirola,it ITA,DF,Monza,34-100,1991,8.5,9,5,7,2,0,3,6,50.0,3,8,6,2,10,19,39,0,Matches
92,Hakan Çalhanoğlu,tr TUR,MF,Inter,31-093,1994,19.7,39,21,6,22,11,18,33,54.5,15,13,6,7,17,56,21,0,Matches
93,Drissa Camara,ci CIV,"MF,FW",Parma,23-083,2002,5.0,9,7,2,6,1,1,10,10.0,9,8,0,8,3,12,1,0,Matches
94,Francesco Camarda,it ITA,"FW,MF",Milan,17-063,2008,1.8,5,2,0,2,3,2,6,33.3,4,1,1,0,0,5,3,0,Matches
95,Nicolò Cambiaghi,it ITA,FW,Bologna,24-135,2000,5.9,15,9,5,7,3,4,9,44.4,5,8,0,8,2,17,2,0,Matches
96,Andrea Cambiaso,it ITA,"DF,FW",Juventus,25-081,2000,23.1,41,26,24,11,6,25,41,61.0,16,23,4,19,14,55,30,5,Matches
97,Thomas Campaniello,it ITA,FW,Empoli,17-072,2008,0.3,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,0,0,Matches
98,Matteo Cancellieri,it ITA,"FW,MF",Parma,23-089,2002,15.8,26,16,15,9,2,11,32,34.4,21,15,1,14,13,39,30,0,Matches
99,Fali Candé,gw GNB,DF,Venezia,27-108,1998,14.0,21,17,12,8,1,13,19,68.4,6,15,10,5,12,33,72,2,Matches
100,Antonio Candela,it ITA,DF,Venezia,25-015,2000,11.2,31,21,13,11,7,18,26,69.2,8,7,5,2,8,39,22,2,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
101,Gianluca Caprari,it ITA,"MF,FW",Monza,31-286,1993,15.9,19,11,8,8,3,7,13,53.8,6,13,0,13,6,25,2,1,Matches
102,Elia Caprile,it ITA,GK,Cagliari,23-260,2001,17.0,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,9,1,Matches
103,Elia Caprile,it ITA,GK,Napoli,23-260,2001,3.6,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Matches
104,Francesco Caputo,it ITA,FW,Empoli,37-279,1987,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
105,Maxence Caqueret,fr FRA,MF,Como,25-086,2000,10.9,33,18,13,18,2,18,34,52.9,16,13,1,12,6,39,4,1,Matches
106,Andrea Carboni,it ITA,DF,Monza,24-097,2001,21.3,54,30,34,16,4,30,48,62.5,18,26,14,12,24,78,93,3,Matches
107,Franco Carboni,it ITA,DF,Venezia,22-038,2003,2.5,5,3,5,0,0,5,8,62.5,3,1,1,0,0,5,11,0,Matches
108,Marco Carnesecchi,it ITA,GK,Atalanta,24-315,2000,32.0,0,0,0,0,0,0,0,,0,1,0,1,0,0,23,2,Matches
109,Cesare Casadei,it ITA,"MF,FW",Torino,22-122,2003,9.3,10,4,4,6,0,5,9,55.6,4,3,2,1,5,15,20,0,Matches
110,Nicolò Casale,it ITA,DF,Bologna,27-087,1998,8.0,7,4,4,3,0,3,7,42.9,4,11,7,4,13,20,40,2,Matches
111,Nicolò Casale,it ITA,DF,Lazio,27-087,1998,1.5,5,3,4,1,0,0,0,,0,4,3,1,1,6,2,0,Matches
112,Federico Cassa,it ITA,"MF,FW",Atalanta,19-100,2006,0.2,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Matches
113,Valentín Castellanos,ar ARG,FW,Lazio,26-221,1998,24.5,13,6,2,4,7,1,10,10.0,9,16,2,14,5,18,24,0,Matches
114,Santiago Castro,ar ARG,FW,Bologna,20-225,2004,24.4,18,10,4,9,5,6,17,35.3,11,13,2,11,3,21,19,0,Matches
115,Gaetano Castrovilli,it ITA,MF,Monza,28-084,1997,5.7,12,7,10,2,0,4,10,40.0,6,7,2,5,2,14,9,0,Matches
116,Gaetano Castrovilli,it ITA,"MF,FW",Lazio,28-084,1997,1.6,5,2,3,1,1,2,4,50.0,2,3,0,3,3,8,1,0,Matches
117,Danilo Cataldi,it ITA,MF,Fiorentina,30-279,1994,19.2,25,16,13,10,2,14,27,51.9,13,17,8,9,22,47,35,0,Matches
118,Zeki Çelik,tr TUR,DF,Roma,28-084,1997,22.1,56,34,20,28,8,21,38,55.3,17,24,6,18,12,68,77,2,Matches
119,Alberto Cerri,it ITA,FW,Como,29-026,1996,1.0,0,0,0,0,0,0,0,,0,2,0,2,0,0,1,0,Matches
120,Gabriel Charpentier,cg CGO,FW,Parma,25-360,1999,3.0,4,3,2,1,1,3,4,75.0,1,3,0,3,0,4,9,0,Matches
121,Walid Cheddira,ma MAR,FW,Napoli,27-110,1998,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
122,Leandro Chichizola,ar ARG,GK,Parma,35-046,1990,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Matches
123,Samuel Chukwueze,ng NGA,"FW,MF",Milan,25-355,1999,9.8,16,10,7,5,4,5,18,27.8,13,3,0,3,2,18,9,0,Matches
124,Aaron Ciammaglichella,it ITA,MF,Torino,20-106,2005,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
125,Alessandro Circati,au AUS,DF,Parma,21-214,2003,4.0,4,2,3,1,0,1,1,100.0,0,5,4,1,2,6,29,1,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
126,Alphadjo Cissè,it ITA,"FW,MF",Hellas Verona,18-202,2006,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
127,Patrick Ciurria,it ITA,"MF,DF",Monza,30-092,1995,11.3,22,14,11,7,4,4,11,36.4,7,13,3,10,6,28,19,0,Matches
128,Saúl Coco,gq EQG,DF,Torino,26-092,1999,31.6,46,26,31,14,1,19,30,63.3,11,49,31,18,38,84,157,4,Matches
129,Lorenzo Colombo,it ITA,"FW,MF",Empoli,23-065,2002,24.0,29,13,7,15,7,6,20,30.0,14,32,2,30,2,31,16,1,Matches
130,Andrea Colpani,it ITA,"FW,MF",Fiorentina,26-001,1999,15.9,15,9,5,7,3,4,12,33.3,8,6,0,6,9,24,10,0,Matches
131,Florinel Coman,ro ROU,"FW,MF",Cagliari,27-032,1998,2.9,5,3,3,1,1,2,2,100.0,0,2,0,2,1,6,3,0,Matches
132,Pietro Comuzzo,it ITA,DF,Fiorentina,20-081,2005,23.2,41,20,27,11,3,21,27,77.8,6,33,20,13,27,68,107,4,Matches
133,Francisco Conceição,pt POR,"FW,MF",Juventus,22-149,2002,13.0,18,10,5,7,6,10,27,37.0,17,7,0,7,5,23,6,0,Matches
134,Diego Coppola,it ITA,DF,Hellas Verona,21-135,2003,29.5,64,34,46,14,4,26,37,70.3,11,41,24,17,66,130,160,2,Matches
135,Maxwel Cornet,ci CIV,"FW,MF",Genoa,28-227,1996,2.6,2,1,1,0,1,0,1,0.0,1,1,1,0,2,4,1,0,Matches
136,Joaquín Correa,ar ARG,"FW,MF",Inter,30-272,1994,5.7,8,3,3,5,0,2,9,22.2,7,2,0,2,0,8,4,0,Matches
137,Alberto costa,pt POR,DF,Juventus,21-225,2003,2.5,11,7,6,4,1,5,7,71.4,2,4,0,4,2,13,8,0,Matches
138,Lassana Coulibaly,ml MLI,MF,Lecce,29-032,1996,26.6,44,26,16,25,3,22,57,38.6,35,40,12,28,16,60,41,1,Matches
139,Woyo Coulibaly,fr FRA,DF,Parma,25-357,1999,12.0,13,10,9,2,2,5,11,45.5,6,19,2,17,8,21,25,0,Matches
140,Bryan Cristante,it ITA,MF,Roma,30-070,1995,19.7,43,26,15,22,6,14,25,56.0,11,17,9,8,16,59,31,1,Matches
141,Domen Črnigoj,si SVN,MF,Venezia,29-175,1995,1.5,4,2,0,1,3,1,2,50.0,1,5,2,3,4,8,4,0,Matches
142,Juan Cuadrado,co COL,"DF,MF",Atalanta,36-351,1988,9.0,19,9,9,6,4,11,23,47.8,12,14,2,12,7,26,9,0,Matches
143,Patrick Cutrone,it ITA,FW,Como,27-129,1998,22.0,16,11,0,10,6,7,14,50.0,7,11,0,11,4,20,7,0,Matches
144,Wylan Cyprien,fr FRA,MF,Parma,30-104,1995,0.3,0,0,0,0,0,0,1,0.0,1,1,0,1,1,1,0,0,Matches
145,Danilo D'Ambrosio,it ITA,DF,Monza,36-245,1988,12.2,28,15,17,10,1,14,23,60.9,9,12,8,4,15,43,36,2,Matches
146,Lucas Da Cunha,fr FRA,MF,Como,23-337,2001,27.0,40,21,14,17,9,18,34,52.9,16,16,3,13,15,55,29,1,Matches
147,Samuel Dahl,se SWE,"DF,MF",Roma,25-069,2000,0.5,2,2,0,2,0,1,2,50.0,1,2,0,2,0,2,0,0,Matches
148,Thijs Dallinga,nl NED,FW,Bologna,24-282,2000,12.3,10,5,0,4,6,3,3,100.0,0,10,1,9,1,11,13,1,Matches
