Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 36_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
41,Ramy Bensebaini,dz ALG,DF,Dortmund,30-025,1995,29,21,1842,20.5,1,6,7,1,0,0,6,0,1.2,1.2,3.2,4.4,21,105,56,0.05,0.29,0.34,0.05,0.34,0.06,0.16,0.22,0.06,0.22,Matches
42,Mergim Berisha,de GER,"FW,MF",Hoffenheim,27-000,1998,11,3,333,3.7,1,1,2,1,0,0,1,0,1.0,1.0,1.0,2.0,2,7,18,0.27,0.27,0.54,0.27,0.54,0.26,0.27,0.54,0.26,0.54,Matches
43,Mergim Berisha,de GER,FW,Augsburg,27-000,1998,2,0,40,0.4,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,2,0,8,0.00,0.00,0.00,0.00,0.00,0.39,0.00,0.39,0.39,0.39,Matches
44,Bernardo,br BRA,DF,Bochum,29-362,1995,20,18,1692,18.8,0,0,0,0,0,0,5,0,0.7,0.7,0.7,1.4,14,98,14,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.08,0.04,0.08,Matches
45,Alexander Bernhardsson,se SWE,"FW,MF",Holstein Kiel,26-245,1998,18,14,1185,13.2,7,2,9,7,0,0,3,0,3.9,3.9,0.9,4.8,23,31,69,0.53,0.15,0.68,0.53,0.68,0.30,0.07,0.36,0.30,0.36,Matches
46,Matúš Bero,sk SVK,MF,Bochum,29-247,1995,29,28,2475,27.5,5,2,7,5,0,1,11,0,3.9,2.9,3.7,6.6,27,135,108,0.18,0.07,0.25,0.18,0.25,0.14,0.13,0.27,0.11,0.24,Matches
47,Jan-Niklas Beste,de GER,"FW,MF",Freiburg,26-127,1999,12,0,212,2.4,0,1,1,0,0,0,0,0,0.9,0.9,0.4,1.3,5,8,20,0.00,0.42,0.42,0.00,0.42,0.38,0.16,0.54,0.38,0.54,Matches
48,El Bilal Touré,ml MLI,"FW,MF",Stuttgart,23-220,2001,12,3,356,4.0,2,1,3,2,0,0,0,0,1.6,1.6,1.1,2.8,6,7,25,0.51,0.25,0.76,0.51,0.76,0.41,0.29,0.70,0.41,0.70,Matches
49,Tom Bischof,de GER,"MF,FW",Hoffenheim,19-317,2005,30,29,2493,27.7,5,2,7,5,0,0,5,0,2.2,2.2,3.4,5.6,46,134,101,0.18,0.07,0.25,0.18,0.25,0.08,0.12,0.20,0.08,0.20,Matches
50,Leonardo Bittencourt,de GER,MF,Werder Bremen,31-143,1993,26,10,963,10.7,2,1,3,2,0,0,3,0,1.6,1.6,1.6,3.2,19,64,38,0.19,0.09,0.28,0.19,0.28,0.15,0.14,0.30,0.15,0.30,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
51,Myron Boadu,nl NED,FW,Bochum,24-117,2001,18,10,966,10.7,7,1,8,6,1,1,2,0,6.6,5.8,1.1,7.0,10,16,64,0.65,0.09,0.75,0.56,0.65,0.62,0.10,0.72,0.54,0.65,Matches
52,Sacha Boey,fr FRA,DF,Bayern Munich,24-240,2000,12,6,569,6.3,0,1,1,0,0,0,1,0,0.1,0.1,1.0,1.1,18,39,62,0.00,0.16,0.16,0.00,0.16,0.02,0.15,0.17,0.02,0.17,Matches
53,Victor Boniface,ng NGA,FW,Leverkusen,24-139,2000,19,12,1008,11.2,8,1,9,8,0,1,2,0,7.8,7.1,1.1,8.1,26,23,61,0.71,0.09,0.80,0.71,0.80,0.70,0.10,0.80,0.63,0.73,Matches
54,Sebastiaan Bornauw,be BEL,DF,Wolfsburg,26-050,1999,14,8,787,8.7,2,1,3,2,0,0,2,0,1.2,1.2,0.5,1.7,3,21,1,0.23,0.11,0.34,0.23,0.34,0.14,0.06,0.20,0.14,0.20,Matches
55,Carlo Boukhalfa,ma MAR,MF,St. Pauli,26-008,1999,23,17,1466,16.3,2,0,2,2,0,0,1,0,1.5,1.5,0.9,2.4,10,36,40,0.12,0.00,0.12,0.12,0.12,0.09,0.05,0.15,0.09,0.15,Matches
56,Julian Brandt,de GER,MF,Dortmund,29-009,1996,28,26,2133,23.7,4,8,12,4,0,0,1,0,4.2,4.2,7.8,12.1,53,139,187,0.17,0.34,0.51,0.17,0.51,0.18,0.33,0.51,0.18,0.51,Matches
57,Tim Breithaupt,de GER,MF,Augsburg,23-093,2002,2,2,120,1.3,0,1,1,0,0,0,0,0,0.1,0.1,0.4,0.4,1,10,1,0.00,0.75,0.75,0.00,0.75,0.04,0.29,0.33,0.04,0.33,Matches
58,Maximilian Breunig,de GER,"FW,MF",Heidenheim,24-270,2000,13,2,350,3.9,2,0,2,1,1,1,0,0,3.4,2.7,0.2,2.9,5,7,13,0.51,0.00,0.51,0.26,0.26,0.89,0.05,0.94,0.68,0.74,Matches
59,Moritz Broschinski,de GER,"FW,MF",Bochum,24-230,2000,32,15,1376,15.3,1,3,4,1,0,0,1,0,4.2,4.2,1.8,6.0,37,20,129,0.07,0.20,0.26,0.07,0.26,0.27,0.12,0.39,0.27,0.39,Matches
60,Nathaniel Brown,de GER,"DF,MF",Eint Frankfurt,21-329,2003,24,20,1767,19.6,3,6,9,3,0,0,1,0,2.2,2.2,4.6,6.8,40,58,104,0.15,0.31,0.46,0.15,0.46,0.11,0.23,0.35,0.11,0.35,Matches
61,Jacob Bruun Larsen,dk DEN,"FW,MF",Hoffenheim,26-234,1998,12,3,400,4.4,2,2,4,2,0,0,0,0,2.3,2.3,0.6,2.9,16,16,41,0.45,0.45,0.90,0.45,0.90,0.52,0.15,0.66,0.52,0.66,Matches
62,Jacob Bruun Larsen,dk DEN,"MF,FW",Stuttgart,26-234,1998,14,3,407,4.5,1,0,1,1,0,0,1,0,0.4,0.4,1.2,1.6,19,19,40,0.22,0.00,0.22,0.22,0.22,0.09,0.27,0.36,0.09,0.36,Matches
63,Emi Buendía,ar ARG,MF,Leverkusen,28-137,1996,10,3,253,2.8,2,0,2,2,0,0,0,0,0.9,0.9,0.9,1.8,2,14,24,0.71,0.00,0.71,0.71,0.71,0.32,0.30,0.62,0.32,0.62,Matches
64,Marius Bülter,de GER,"FW,DF",Hoffenheim,32-043,1993,24,22,1684,18.7,7,2,9,7,0,0,4,0,3.7,3.7,3.1,6.8,56,34,151,0.37,0.11,0.48,0.37,0.48,0.20,0.16,0.36,0.20,0.36,Matches
65,Jonathan Burkardt,de GER,FW,Mainz 05,24-304,2000,28,27,2020,22.4,17,2,19,16,1,1,0,0,13.7,12.9,3.1,16.0,32,41,151,0.76,0.09,0.85,0.71,0.80,0.61,0.14,0.75,0.57,0.71,Matches
66,Oliver Burke,sct SCO,FW,Werder Bremen,28-034,1997,25,9,908,10.1,5,0,5,5,0,0,4,0,4.1,4.1,1.7,5.8,22,15,88,0.50,0.00,0.50,0.50,0.50,0.41,0.17,0.57,0.41,0.57,Matches
67,Marnon Busch,de GER,"DF,MF",Heidenheim,30-154,1994,23,15,1396,15.5,0,1,1,0,0,0,1,0,0.4,0.4,1.1,1.5,22,63,43,0.00,0.06,0.06,0.00,0.06,0.02,0.07,0.10,0.02,0.10,Matches
68,Anthony Caci,fr FRA,DF,Mainz 05,27-314,1997,32,32,2615,29.1,1,7,8,1,0,0,6,0,3.1,3.1,6.6,9.6,45,130,149,0.03,0.24,0.28,0.03,0.28,0.11,0.23,0.33,0.11,0.33,Matches
69,Cole Campbell,us USA,"MF,FW",Dortmund,19-080,2006,4,0,22,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
70,Emre Can,de GER,"DF,MF",Dortmund,31-119,1994,29,23,2076,23.1,3,0,3,1,2,2,4,1,2.0,0.4,0.7,1.1,19,114,11,0.13,0.00,0.13,0.04,0.04,0.09,0.03,0.12,0.02,0.05,Matches
71,Tiago Cardoso,lu LUX,GK,Gladbach,19-034,2006,5,4,380,4.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
72,Abdoulie Ceesay,gm GAM,FW,St. Pauli,21-126,2004,7,0,60,0.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,8,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Matches
73,Julian Chabot,de GER,DF,Stuttgart,27-088,1998,29,25,2089,23.2,3,1,4,3,0,0,11,1,1.9,1.8,0.2,1.9,6,99,3,0.13,0.04,0.17,0.13,0.17,0.08,0.01,0.09,0.08,0.08,Matches
74,El Chadaille Bitshiabu,fr FRA,DF,RB Leipzig,19-360,2005,20,12,1040,11.6,0,0,0,0,0,0,2,1,0.3,0.3,0.4,0.7,4,66,2,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.06,0.02,0.06,Matches
75,Fares Chaïbi,dz ALG,"MF,FW",Eint Frankfurt,22-164,2002,24,9,925,10.3,1,1,2,1,0,0,2,0,2.4,2.4,2.0,4.5,16,48,67,0.10,0.10,0.19,0.10,0.19,0.24,0.20,0.43,0.24,0.43,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
76,Timothy Chandler,us USA,DF,Eint Frankfurt,35-043,1990,3,0,24,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,3,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
77,Anrie Chase,jp JPN,DF,Stuttgart,21-048,2004,12,7,734,8.2,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,6,28,2,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches
78,Arthur Chaves,br BRA,DF,Hoffenheim,24-102,2001,25,23,2095,23.3,1,0,1,1,0,0,8,0,0.8,0.8,0.1,0.9,10,55,13,0.04,0.00,0.04,0.04,0.04,0.03,0.00,0.04,0.03,0.04,Matches
79,Fabio Chiarodia,it ITA,DF,Gladbach,19-340,2005,16,3,379,4.2,1,0,1,1,0,0,0,0,0.3,0.3,0.4,0.7,1,10,1,0.24,0.00,0.24,0.24,0.24,0.07,0.10,0.17,0.07,0.17,Matches
80,Carney Chukwuemeka,eng ENG,MF,Dortmund,21-203,2003,9,1,233,2.6,1,0,1,1,0,0,1,0,0.6,0.6,0.9,1.5,14,18,21,0.39,0.00,0.39,0.39,0.39,0.23,0.35,0.58,0.23,0.58,Matches
81,Alexis Claude-Maurice,fr FRA,"MF,FW",Augsburg,26-339,1998,26,23,1977,22.0,9,2,11,9,0,0,4,0,4.2,4.2,1.2,5.4,57,57,95,0.41,0.09,0.50,0.41,0.50,0.19,0.06,0.25,0.19,0.25,Matches
