Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 25_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
375,Filippo Melegoni,it ITA,"MF,FW",Genoa,26-082,1999,1.0,0,1,0,0.0,1.01,0.00,0.00,,21.4,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
376,Alex Meret,it ITA,GK,Napoli,28-050,1997,30.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
377,Junior Messias,br BRA,"MF,FW",Genoa,33-363,1991,7.8,1,16,5,31.3,2.06,0.64,0.06,0.20,20.4,0,0,1,2.3,1.4,0.09,-1.3,-0.4,Matches
378,Valentin Mihaila,ro ROU,"FW,MF",Parma,25-098,2000,14.3,0,31,11,35.5,2.17,0.77,0.00,0.00,22.1,5,0,0,2.4,2.4,0.08,-2.4,-2.4,Matches
379,Vanja Milinković-Savić,rs SRB,GK,Torino,28-080,1997,34.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
380,Yerry Mina,co COL,DF,Cagliari,30-230,1994,26.5,0,24,7,29.2,0.90,0.26,0.00,0.00,11.3,0,0,0,2.1,2.1,0.09,-2.1,-2.1,Matches
381,Juan Miranda,es ESP,DF,Bologna,25-112,2000,24.3,0,20,5,25.0,0.82,0.21,0.00,0.00,26.3,6,0,0,0.6,0.6,0.03,-0.6,-0.6,Matches
382,Fabio Miretti,it ITA,"MF,FW",Genoa,21-281,2003,18.6,3,24,6,25.0,1.29,0.32,0.13,0.50,17.4,1,0,0,3.1,3.1,0.13,-0.1,-0.1,Matches
383,Henrikh Mkhitaryan,am ARM,MF,Inter,36-110,1989,25.6,1,23,2,8.7,0.90,0.08,0.04,0.50,21.0,0,0,0,1.5,1.5,0.07,-0.5,-0.5,Matches
384,Rui Modesto,ao ANG,"DF,MF",Udinese,25-216,1999,5.4,0,2,2,100.0,0.37,0.37,0.00,0.00,13.5,0,0,0,0.4,0.4,0.21,-0.4,-0.4,Matches
385,Lorenzo Montipò,it ITA,GK,Hellas Verona,29-080,1996,34.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
386,Álvaro Morata,es ESP,"FW,MF",Milan,32-200,1992,12.2,5,27,10,37.0,2.21,0.82,0.19,0.50,11.3,0,0,0,3.9,3.9,0.15,+1.1,+1.1,Matches
