Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 22_level_0,Unnamed: 23_level_0,Expected,Expected,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0,Unnamed: 31_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
50,Armel Bella Kotchap,de GER,DF,Southampton,23-151,2001,3.7,202,224,90.2,3829,956,65,66,98.5,119,123,96.7,16,29,55.2,0,0.0,0.0,0.0,0,6,0,0,5,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
51,Jean-Ricner Bellegarde,fr FRA,"MF,FW",Wolves,26-318,1998,17.6,424,540,78.5,6582,1289,245,275,89.1,132,164,80.5,33,59,55.9,6,3.6,2.6,+2.4,26,27,17,8,39,Matches
52,Rodrigo Bentancur,uy URU,MF,Tottenham,27-320,1997,16.9,916,1040,88.1,14862,3593,439,482,91.1,407,439,92.7,46,61,75.4,0,0.4,1.0,-0.4,10,107,12,2,99,Matches
53,Daniel Bentley,eng ENG,GK,Wolves,31-302,1993,1.0,20,34,58.8,552,422,2,2,100.0,12,12,100.0,6,20,30.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
54,Sander Berge,no NOR,MF,Fulham,27-086,1998,24.1,1060,1160,91.4,18871,4427,436,475,91.8,513,543,94.5,94,112,83.9,0,0.6,0.6,-0.6,18,113,4,0,119,Matches
55,Lucas Bergvall,se SWE,MF,Tottenham,19-098,2006,13.5,629,720,87.4,10567,2202,295,321,91.9,264,294,89.8,53,71,74.6,1,0.6,0.8,+0.4,11,53,7,3,49,Matches
56,Victor Bernth Kristiansen,dk DEN,DF,Leicester City,22-146,2002,26.4,1007,1297,77.6,16181,5793,510,569,89.6,411,513,80.1,65,157,41.4,1,1.4,1.7,-0.4,18,74,23,18,69,Matches
57,Beto,gw GNB,FW,Everton,27-100,1998,15.1,132,234,56.4,1779,209,80,118,67.8,36,74,48.6,7,8,87.5,0,0.8,0.3,-0.8,9,6,5,1,12,Matches
58,Philip Billing,dk DEN,MF,Bournemouth,28-334,1996,2.0,70,102,68.6,1023,400,43,51,84.3,19,27,70.4,4,15,26.7,0,1.1,1.0,-1.1,9,9,7,2,15,Matches
