Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 30_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
65,Jonathan Burkardt,de GER,FW,Mainz 05,24-304,2000,22.4,767,19,49,357,364,114,766,38,15,39.5,23,60.5,433,1841,737,32,25,13,75,32,545,151,Matches
66,Oliver Burke,sct SCO,FW,Werder Bremen,28-034,1997,10.1,440,5,38,167,241,79,440,12,7,58.3,5,41.7,246,1353,493,22,12,14,38,13,329,88,Matches
67,Marnon Busch,de GER,"DF,MF",Heidenheim,30-154,1994,15.5,1030,79,378,468,190,9,1030,8,3,37.5,4,50.0,495,2288,1217,22,20,1,13,1,553,43,Matches
68,Anthony Caci,fr FRA,DF,Mainz 05,27-314,1997,29.1,1933,69,390,866,695,59,1933,63,29,46.0,30,47.6,940,3636,1639,45,25,13,43,23,1143,149,Matches
69,Cole Campbell,us USA,"MF,FW",Dortmund,19-080,2006,0.2,21,2,4,9,8,0,21,1,0,0.0,1,100.0,10,57,34,1,0,0,3,0,13,1,Matches
70,Emre Can,de GER,"DF,MF",Dortmund,31-119,1994,23.1,2120,148,782,1184,166,11,2118,25,15,60.0,8,32.0,1381,6537,3542,19,31,2,18,10,1554,11,Matches
71,Tiago Cardoso,lu LUX,GK,Gladbach,19-034,2006,4.2,189,175,189,0,0,0,189,0,0,,0,,101,568,365,0,0,0,0,0,94,0,Matches
72,Abdoulie Ceesay,gm GAM,FW,St. Pauli,21-126,2004,0.7,26,0,2,13,11,2,26,0,0,,0,,12,32,3,0,0,0,4,3,18,8,Matches
73,Julian Chabot,de GER,DF,Stuttgart,27-088,1998,23.2,2045,247,922,1056,74,29,2045,5,3,60.0,2,40.0,1214,5805,2874,6,9,2,11,2,1390,3,Matches
74,El Chadaille Bitshiabu,fr FRA,DF,RB Leipzig,19-360,2005,11.6,991,134,436,515,45,11,991,3,2,66.7,1,33.3,472,2044,998,4,3,1,11,1,631,2,Matches
75,Fares Chaïbi,dz ALG,"MF,FW",Eint Frankfurt,22-164,2002,10.3,535,29,103,212,226,32,535,10,6,60.0,2,20.0,269,1294,592,16,13,4,17,7,329,67,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
