Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 36_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
68,Samuele Birindelli,it ITA,"DF,MF",Monza,25-296,1999,18,15,1198,13.3,2,0,2,2,0,0,2,0,1.4,1.4,1.4,2.8,34,32,79,0.15,0.00,0.15,0.15,0.15,0.11,0.10,0.21,0.11,0.21,Matches
69,Bjarki Bjarkason,is ISL,"DF,MF",Venezia,25-000,2000,9,1,165,1.8,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,6,10,13,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04,Matches
70,Emil Bohinen,no NOR,MF,Genoa,26-060,1999,3,1,166,1.8,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,6,5,2,0.00,0.00,0.00,0.00,0.00,0.06,0.04,0.09,0.06,0.09,Matches
71,Warren Bondo,fr FRA,MF,Monza,21-238,2003,20,19,1618,18.0,0,0,0,0,0,0,5,1,0.4,0.4,0.3,0.7,25,39,21,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04,Matches
72,Warren Bondo,fr FRA,MF,Milan,21-238,2003,4,3,162,1.8,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,2,7,0,0.00,0.00,0.00,0.00,0.00,0.02,0.05,0.06,0.02,0.06,Matches
73,Kevin Bonifazi,it ITA,DF,Lecce,28-357,1996,3,0,65,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
74,Ange-Yoan Bonny,fr FRA,FW,Parma,21-198,2003,35,28,2357,26.2,6,3,9,4,2,3,2,0,9.1,6.7,2.5,9.3,35,47,150,0.23,0.11,0.34,0.15,0.27,0.35,0.10,0.44,0.26,0.35,Matches
75,Edoardo Bove,it ITA,"MF,FW",Fiorentina,22-360,2002,12,11,851,9.5,1,2,3,1,0,0,3,0,0.6,0.6,1.5,2.1,12,37,24,0.11,0.21,0.32,0.11,0.32,0.06,0.16,0.22,0.06,0.22,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
76,Domagoj Bradarić,hr CRO,DF,Hellas Verona,25-152,1999,26,22,1766,19.6,0,0,0,0,0,0,6,0,0.2,0.2,1.8,2.0,29,42,77,0.00,0.00,0.00,0.00,0.00,0.01,0.09,0.10,0.01,0.10,Matches
77,Matthias Braunöder,at AUT,MF,Como,23-045,2002,8,3,268,3.0,0,0,0,0,0,0,3,1,0.1,0.1,0.0,0.1,2,18,0,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches
78,Iker Bravo,es ESP,"FW,MF",Udinese,20-118,2005,27,4,647,7.2,2,1,3,2,0,0,3,0,0.9,0.9,0.4,1.3,6,18,37,0.28,0.14,0.42,0.28,0.42,0.12,0.05,0.17,0.12,0.17,Matches
79,Gleison Bremer,br BRA,DF,Juventus,28-054,1997,6,6,540,6.0,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,2,21,0,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches
80,Brenner,br BRA,"MF,FW",Udinese,25-115,2000,9,5,386,4.3,1,2,3,1,0,0,0,0,0.6,0.6,0.5,1.1,5,7,16,0.23,0.47,0.70,0.23,0.70,0.15,0.11,0.26,0.15,0.26,Matches
81,Marco Brescianini,it ITA,MF,Atalanta,25-111,2000,26,7,861,9.6,4,2,6,4,0,0,1,0,3.1,3.1,0.9,4.0,44,29,65,0.42,0.21,0.63,0.42,0.63,0.32,0.10,0.42,0.32,0.42,Matches
82,Arvid Brorsson,se SWE,DF,Monza,26-003,1999,4,1,182,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
83,Tajon Buchanan,ca CAN,"DF,FW",Inter,26-092,1999,6,0,95,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,6,2,8,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.13,0.00,0.13,Matches
84,Alessandro Buongiorno,it ITA,DF,Napoli,25-339,1999,22,22,1924,21.4,1,0,1,1,0,0,2,0,0.8,0.8,0.6,1.4,27,82,8,0.05,0.00,0.05,0.05,0.05,0.04,0.03,0.07,0.04,0.07,Matches
85,Rareș-Cătălin Burnete,ro ROU,FW,Lecce,21-100,2004,3,0,25,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,4,0.00,0.00,0.00,0.00,0.00,0.28,0.00,0.28,0.28,0.28,Matches
86,Gianluca Busio,us USA,MF,Venezia,22-348,2002,31,26,2338,26.0,2,0,2,2,0,0,3,0,2.2,2.2,1.6,3.8,57,89,126,0.08,0.00,0.08,0.08,0.08,0.08,0.06,0.14,0.08,0.14,Matches
87,Jean Butez,fr FRA,GK,Como,29-337,1995,17,17,1530,17.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
88,Liberato Cacace,nz NZL,"DF,MF",Empoli,24-226,2000,31,22,2081,23.1,2,3,5,2,0,0,6,0,2.1,2.1,1.4,3.4,51,64,89,0.09,0.13,0.22,0.09,0.22,0.09,0.06,0.15,0.09,0.15,Matches
89,Davide Calabria,it ITA,DF,Bologna,28-156,1996,9,6,537,6.0,0,1,1,0,0,0,2,0,0.1,0.1,0.9,1.0,5,36,18,0.00,0.17,0.17,0.00,0.17,0.01,0.16,0.17,0.01,0.17,Matches
90,Davide Calabria,it ITA,DF,Milan,28-156,1996,7,4,316,3.5,0,0,0,0,0,0,0,0,0.3,0.3,0.2,0.5,8,24,31,0.00,0.00,0.00,0.00,0.00,0.08,0.05,0.14,0.08,0.14,Matches
91,Luca Caldirola,it ITA,DF,Monza,34-099,1991,12,9,761,8.5,0,0,0,0,0,0,5,0,0.3,0.3,0.1,0.3,4,18,4,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04,Matches
92,Hakan Çalhanoğlu,tr TUR,MF,Inter,31-092,1994,26,24,1770,19.7,5,4,9,2,3,4,3,0,4.1,1.0,5.2,6.2,49,162,47,0.25,0.20,0.46,0.10,0.31,0.21,0.26,0.47,0.05,0.31,Matches
93,Drissa Camara,ci CIV,"MF,FW",Parma,23-082,2002,21,1,447,5.0,0,0,0,0,0,0,3,0,1.2,1.2,0.8,2.0,18,27,35,0.00,0.00,0.00,0.00,0.00,0.25,0.16,0.40,0.25,0.40,Matches
