Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 25_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
443,Adrien Rabiot,fr FRA,MF,Marseille,30-038,1995,26.6,7,44,19,43.2,1.65,0.71,0.16,0.37,13.5,0,0,0,6.1,6.1,0.14,+0.9,+0.9,Matches
444,Gonçalo Ramos,pt POR,FW,Paris S-G,23-325,2001,11.7,10,51,29,56.9,4.38,2.49,0.16,0.28,10.8,0,2,2,12.8,11.2,0.22,-2.8,-3.2,Matches
445,Lilian Raolisoa,fr FRA,"DF,FW",Angers,24-329,2000,13.7,0,12,1,8.3,0.87,0.07,0.00,0.00,22.4,0,0,0,0.6,0.6,0.05,-0.6,-0.6,Matches
446,Rayan Raveloson,mg MAD,"MF,DF",Auxerre,28-115,1997,8.0,1,16,5,31.3,1.99,0.62,0.06,0.20,21.6,1,0,0,0.8,0.8,0.05,+0.2,+0.2,Matches
447,Guillaume Restes,fr FRA,GK,Toulouse,20-061,2005,27.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
448,Alexsandro Ribeiro,br BRA,DF,Lille,25-275,1999,29.0,1,18,4,22.2,0.62,0.14,0.06,0.25,10.2,0,0,0,1.5,1.5,0.08,-0.5,-0.5,Matches
449,Alejandro Rodriguez,pt POR,MF,Lyon,17-062,2008,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
450,Valentin Rongier,fr FRA,"MF,DF",Marseille,30-155,1994,17.4,3,14,7,50.0,0.81,0.40,0.21,0.43,21.6,0,0,0,1.0,1.0,0.07,+2.0,+2.0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
451,Pablo Rosario,nl NED,"MF,DF",Nice,28-124,1997,19.7,3,16,7,43.8,0.81,0.35,0.13,0.29,16.1,0,1,1,3.8,3.0,0.19,-0.8,-1.0,Matches
