Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
143,Thierry Correia,pt POR,DF,Valencia,26-063,1999,8.5,27,18,19,5,3,13,23,56.5,10,10,1,9,4,31,18,0,Matches
144,Coba da Costa,es ESP,"MF,FW",Getafe,22-289,2002,10.2,29,13,9,16,4,13,25,52.0,12,22,0,22,7,36,7,0,Matches
145,Logan Costa,cv CPV,DF,Villarreal,24-040,2001,25.7,35,19,22,12,1,22,25,88.0,3,20,11,9,17,52,102,1,Matches
146,Samu Costa,pt POR,MF,Mallorca,24-165,2000,26.6,79,38,39,38,2,29,70,41.4,41,41,13,28,30,109,77,1,Matches
147,Thibaut Courtois,be BEL,GK,Real Madrid,33-000,1992,28.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,13,1,Matches
148,Juan Cruz Armada,es ESP,DF,Osasuna,32-287,1992,13.0,20,10,9,10,1,11,19,57.9,8,14,4,10,8,28,44,0,Matches
149,Juan Cruz,es ESP,"FW,MF",Leganés,25-016,2000,23.1,30,19,13,15,2,16,32,50.0,16,14,2,12,11,41,27,0,Matches
150,Pau Cubarsí,es ESP,DF,Barcelona,18-109,2007,26.0,28,18,18,7,3,16,25,64.0,9,10,8,2,13,41,75,1,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
151,Cucho,co COL,FW,Betis,26-021,1999,9.7,12,8,1,5,6,5,9,55.6,4,13,1,12,6,18,3,0,Matches
152,Arnaut Danjuma,nl NED,FW,Villarreal,28-100,1997,2.2,2,1,0,1,1,0,1,0.0,1,1,0,1,0,2,0,0,Matches
153,Arnaut Danjuma,nl NED,"FW,MF",Girona,28-100,1997,14.6,8,6,3,3,2,2,7,28.6,5,5,1,4,2,10,4,0,Matches
154,Sergi Darder,es ESP,"MF,FW",Mallorca,31-140,1993,27.6,38,24,15,15,8,16,41,39.0,25,18,1,17,14,52,20,1,Matches
155,Rodrigo De Paul,ar ARG,MF,Atlético Madrid,30-352,1994,20.8,28,23,11,13,4,13,31,41.9,18,22,2,20,5,33,14,3,Matches
156,Mouctar Diakhaby,gn GUI,DF,Valencia,28-143,1996,4.4,5,1,5,0,0,3,5,60.0,2,6,5,1,3,8,41,0,Matches
157,Assane Diao,sn SEN,FW,Betis,19-246,2005,3.1,5,3,1,3,1,4,9,44.4,5,3,0,3,0,5,3,0,Matches
158,Moussa Diarra,ml MLI,DF,Alavés,24-182,2000,19.7,38,23,19,16,3,17,28,60.7,11,14,5,9,21,59,40,1,Matches
159,Brahim Díaz,ma MAR,"FW,MF",Real Madrid,25-281,1999,14.3,24,18,9,12,3,7,18,38.9,11,16,1,15,4,28,1,1,Matches
