Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 25_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
114,Nico Elvedi,ch SUI,DF,Gladbach,28-223,1996,22.7,1,12,3,25.0,0.53,0.13,0.08,0.33,8.3,0,0,0,2.0,2.0,0.18,-1.0,-1.0,Matches
115,Arne Engels,be BEL,"MF,FW",Augsburg,21-245,2003,0.9,0,3,1,33.3,3.42,1.14,0.00,0.00,13.1,0,0,0,0.4,0.4,0.14,-0.4,-0.4,Matches
116,Patrick Erras,de GER,DF,Holstein Kiel,30-110,1995,9.2,1,8,1,12.5,0.87,0.11,0.13,1.00,10.0,0,0,0,0.9,0.9,0.11,+0.1,+0.1,Matches
117,Samuel Essende,cd COD,FW,Augsburg,27-108,1998,18.1,7,44,13,29.5,2.44,0.72,0.16,0.54,13.9,0,0,0,4.2,4.2,0.10,+2.8,+2.8,Matches
118,Frank Feller,de GER,GK,Heidenheim,21-124,2004,1.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
119,Kilian Fischer,de GER,DF,Wolfsburg,24-211,2000,25.5,1,6,1,16.7,0.24,0.04,0.17,1.00,20.5,0,0,0,0.3,0.3,0.05,+0.7,+0.7,Matches
120,Jonas Föhrenbach,de GER,DF,Heidenheim,29-105,1996,20.2,0,8,1,12.5,0.40,0.05,0.00,0.00,21.8,0,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches
121,Marco Friedl,at AUT,DF,Werder Bremen,27-056,1998,23.0,0,4,3,75.0,0.17,0.13,0.00,0.00,14.1,0,0,0,0.5,0.5,0.11,-0.5,-0.5,Matches
122,Marvin Friedrich,de GER,DF,Gladbach,29-149,1995,11.0,0,7,2,28.6,0.64,0.18,0.00,0.00,9.9,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches
123,Jeremie Frimpong,nl NED,"DF,MF",Leverkusen,24-152,2000,24.7,4,33,15,45.5,1.34,0.61,0.12,0.27,14.6,0,0,0,4.1,4.1,0.12,-0.1,-0.1,Matches
124,Chris Führich,de GER,"MF,FW",Stuttgart,27-122,1998,20.8,2,34,11,32.4,1.64,0.53,0.06,0.18,17.3,2,0,0,2.8,2.8,0.08,-0.8,-0.8,Matches
125,Shiō Fukuda,jp JPN,"FW,MF",Gladbach,21-033,2004,0.6,1,1,1,100.0,1.76,1.76,1.00,1.00,20.5,0,0,0,0.3,0.3,0.35,+0.7,+0.7,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
