Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 22_level_0,Unnamed: 23_level_0,Expected,Expected,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0,Unnamed: 31_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
612,Gabriele Zappa,it ITA,DF,Cagliari,25-140,1999,32.0,1261,1644,76.7,21294,10537,599,675,88.7,552,686,80.5,91,206,44.2,0,3.6,3.3,-3.6,28,123,23,14,139,Matches
613,Davide Zappacosta,it ITA,DF,Atalanta,32-334,1992,21.8,934,1125,83.0,14660,4663,509,552,92.2,349,421,82.9,54,97,55.7,2,2.1,3.0,-0.1,23,56,36,23,102,Matches
614,Oier Zarraga,es ESP,MF,Udinese,26-127,1999,8.0,200,246,81.3,3207,711,105,115,91.3,74,87,85.1,16,28,57.1,0,0.4,0.6,-0.4,5,16,7,5,19,Matches
615,Jordan Zemura,zw ZIM,DF,Udinese,25-178,1999,14.0,433,563,76.9,6834,2540,237,260,91.2,159,210,75.7,28,63,44.4,2,0.9,1.2,+1.1,9,23,14,8,40,Matches
616,Alessio Zerbin,it ITA,DF,Venezia,26-069,1999,14.0,340,515,66.0,5439,2325,171,208,82.2,135,194,69.6,24,69,34.8,0,1.2,1.6,-1.2,19,22,17,7,49,Matches
617,Alessio Zerbin,it ITA,"FW,DF",Napoli,26-069,1999,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
618,Kevin Zeroli,it ITA,MF,Monza,20-120,2005,3.5,60,82,73.2,913,192,34,43,79.1,23,31,74.2,3,5,60.0,0,0.1,0.0,-0.1,1,5,0,0,3,Matches
619,Kevin Zeroli,it ITA,MF,Milan,20-120,2005,0.1,9,9,100.0,133,28,5,5,100.0,4,4,100.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,2,Matches
620,Piotr Zieliński,pl POL,MF,Inter,30-356,1994,10.2,587,659,89.1,9040,2810,319,331,96.4,225,250,90.0,32,55,58.2,2,0.9,1.0,+1.1,14,75,6,0,62,Matches
621,Nadir Zortea,it ITA,"DF,MF",Cagliari,25-326,1999,28.6,529,786,67.3,8543,2872,285,353,80.7,184,260,70.8,44,98,44.9,1,2.3,2.2,-1.3,27,38,31,21,59,Matches
622,Szymon Żurkowski,pl POL,MF,Empoli,27-228,1997,1.2,27,33,81.8,338,109,15,15,100.0,9,10,90.0,0,2,0.0,0,0.0,0.0,0.0,0,0,1,0,1,Matches
623,Milan Đurić,ba BIH,FW,Monza,34-354,1990,14.1,131,266,49.2,1564,442,80,154,51.9,31,72,43.1,3,3,100.0,1,1.1,0.2,-0.1,5,16,2,0,21,Matches
624,Milan Đurić,ba BIH,FW,Parma,34-354,1990,2.9,35,78,44.9,390,154,22,45,48.9,7,18,38.9,1,3,33.3,0,0.0,0.1,0.0,0,3,3,0,7,Matches
